tweet_id,timestamp,source,text,rating_numerator,rating_denominator,name,dog_types,jpg_url,p1,p1_conf,p1_dog,p2,p2_conf,p2_dog,p3,p3_conf,p3_dog,retweet_count,favorites_count,followers_count,listed_count
863079547188785154,2017-05-12 17:12:53+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Ladies and gentlemen... I found Pipsy. He may have changed his name to Pablo, but he never changed his love for the sea. Pupgraded to 14/10 https://t.co/lVU5GyNFen",14,10,None,None,https://pbs.twimg.com/media/C_pGRInUwAAmTY_.jpg,Lakeland_terrier,0.275242,True,Airedale,0.190569,True,teddy,0.102595,False,,,,
856526610513747968,2017-04-24 15:13:52+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","THIS IS CHARLIE, MARK. HE DID JUST WANT TO SAY HI AFTER ALL. PUPGRADED TO A 14/10. WOULD BE AN HONOR TO FLY WITH https://t.co/p1hBHCmWnA",14,10,None,None,https://pbs.twimg.com/media/C-L-aIYXgAIR0jY.jpg,Old_English_sheepdog,0.798481,True,Tibetan_terrier,0.0606024,True,standard_poodle,0.0407219,True,,,,
844979544864018432,2017-03-23 18:29:57+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","PUPDATE: I'm proud to announce that Toby is 236 days sober. Pupgraded to a 13/10. We're all very proud of you, Toby https://t.co/a5OaJeRl9B",13,10,None,None,https://pbs.twimg.com/media/C7n4aQ0VAAAohkL.jpg,tennis_ball,0.999281,False,racket,0.00037008,False,Shetland_sheepdog,0.000132068,True,,,,
802265048156610565,2016-11-25 21:37:47+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Like doggo, like pupper version 2. Both 11/10 https://t.co/9IxWAXFqze",11,10,None,pupper,https://pbs.twimg.com/media/CyI3zXgWEAACQfB.jpg,Labrador_retriever,0.8971620000000001,True,beagle,0.0168947999999999,True,Rhodesian_ridgeback,0.0120606,True,,,,
746906459439529985,2016-06-26 03:22:31+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","PUPDATE: can't see any. Even if I could, I couldn't reach them to pet. 0/10 much disappointment https://t.co/c7WXaB2nqX",0,10,None,None,https://pbs.twimg.com/media/Cl2LdofXEAATl7x.jpg,traffic_light,0.470708,False,fountain,0.199776,False,space_shuttle,0.064807,False,,,,
746818907684614144,2016-06-25 21:34:37+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Guys... Dog Jesus 2.0
13/10 buoyant af https://t.co/CuNA7OwfKQ",13,10,None,None,https://pbs.twimg.com/media/Cl071YVWEAAlF7N.jpg,dingo,0.175518,False,timber_wolf,0.133647,False,Ibizan_hound,0.101537,True,,,,
729838605770891264,2016-05-10 01:00:58+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","""Challenge completed"" 
(pupgraded to 12/10) https://t.co/85dTK7XCXB",12,10,None,None,https://pbs.twimg.com/ext_tw_video_thumb/729838572744912896/pu/img/RIl-XYmRxW-YLFSV.jpg,stone_wall,0.7582180000000001,False,patio,0.0742053999999999,False,prison,0.013826,False,,,,
705786532653883392,2016-03-04 16:06:36+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Seriously, add us 🐶 11/10 for sad wet pupper https://t.co/xwPE9faVZR",11,10,None,pupper,https://pbs.twimg.com/media/Cct1G6vVAAI9ZjF.jpg,web_site,0.550294,False,Labrador_retriever,0.148496,True,golden_retriever,0.148482,True,,,,
704871453724954624,2016-03-02 03:30:25+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",I found a forest Pipsy. 12/10 https://t.co/mIQ1KoVsmU,12,10,None,None,https://pbs.twimg.com/media/Ccg02LiWEAAJHw1.jpg,Norfolk_terrier,0.689504,True,soft-coated_wheaten_terrier,0.10148,True,Norwich_terrier,0.0557784999999999,True,,,,
703425003149250560,2016-02-27 03:42:44+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Really guys? Again? I know this is a rare Albanian Bingo Seal, but we only rate dogs. Only send in dogs... 9/10 https://t.co/6JYLpUmBrC",9,10,None,None,https://pbs.twimg.com/media/CcMRSwUW8AAxxNC.jpg,miniature_pinscher,0.2928659999999999,True,sleeping_bag,0.142122,False,Italian_greyhound,0.070849,True,,,,
